"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
hiit3_rpe_9,highintensity_interval_training_hiit_session_3,,text,"40. RPE (6-20)",,,,,,,,y,,,,,"Record Value At  33:45"
hiit3_vo2_peak,highintensity_interval_training_hiit_session_3,,text,"41. Peak VO2 mL/kg/min",,,,,,,,y,,,,,"Take this value from the cpu screen"
hiit3_vo2_5060,highintensity_interval_training_hiit_session_3,,text,"42. 50% - 60% VO2 mL/kg/min",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit3_vo2_7075,highintensity_interval_training_hiit_session_3,,text,"43. 70% - 75% VO2 mL/kg/min",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit3_vo2_8085,highintensity_interval_training_hiit_session_3,,text,"44. 80% - 85% VO2 mL/kg/min",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit3_vo2_9095,highintensity_interval_training_hiit_session_3,,text,"45. 90% - 95% VO2 mL/kg/min",,,,,,,,y,,,,,"We get these values from the sliders on the cpu (15sec intervals)"
hiit3_hr_peak,highintensity_interval_training_hiit_session_3,"Heart Rate (HR) bpm",text,"46. Peak HR bpm",,,,,,,,y,,,,,"Take value from cpu screen"
hiit3_hr_5060,highintensity_interval_training_hiit_session_3,,text,"47. 50% - 60% HR peak (bpm)",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.50 or 39.1*.60)"
hiit3_hr_7075,highintensity_interval_training_hiit_session_3,,text,"48. 70% - 75% HR peak (bpm)",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.70 or 39.1*.75)"
hiit3_hr_8085,highintensity_interval_training_hiit_session_3,,text,"49. 80% - 85% HR peak (bpm)",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.80 or 39.1*.85)"
hiit3_hr_9095,highintensity_interval_training_hiit_session_3,,text,"50. 90% - 95% HR peak (bpm)",,,,,,,,y,,,,,"Calculate this value by multiplying the Peak VO2 by the percentage (ex. Peak VO2=39.1, so 39.1*.90 or 39.1*.95)"
hiit3_notes,highintensity_interval_training_hiit_session_3,,notes,,,,,,,,,,,,,,
adverse,adverseserious_adverse_events,,yesno,"1. Did Participant Report Any Adverse Events?",,,,,,,,y,,,,,
adverse_date,adverseserious_adverse_events,,text,"2. If Yes, What Was The Date Of The Adverse Event?",,,date_dmy,,,,,,,,,,
adverse_description,adverseserious_adverse_events,,notes,"3. Description Of The Adverse Event",,,,,,,,,,,,,
adverse_report_date,adverseserious_adverse_events,,text,"4. When Was The Adverse Event Reported To Clinical Personnel",,,date_dmy,,,,,,,,,,
adverse_outcome,adverseserious_adverse_events,,notes,"5. Adverse Event Outcome",,,,,,,,,,,,,
adverse_ongoing,adverseserious_adverse_events,,yesno,"6. Is The Adverse Event Still Ongoing?",,,,,,,,,,,,,
adverse_serious,adverseserious_adverse_events,,yesno,"7. Did Participant Report Any Serious Adverse Events?",,,,,,,,y,,,,,
adverse_date_serious,adverseserious_adverse_events,,text,"8. If Yes, What Was The Date Of The Serious Adverse Event?",,,date_dmy,,,,,,,,,,
adverse_description_serious,adverseserious_adverse_events,,notes,"9. Description Of The Serious Adverse Event",,,,,,,,,,,,,
adverse_report_date_serious,adverseserious_adverse_events,,text,"10. When Was The Serious Adverse Event Reported To Clinical Personnel",,,date_dmy,,,,,,,,,,
adverse_outcome_serious,adverseserious_adverse_events,,notes,"11. Serious Adverse Event Outcome",,,,,,,,,,,,,
adverse_ongoing_serious,adverseserious_adverse_events,,yesno,"12. Is The Serious Adverse Event Still Ongoing?",,,,,,,,,,,,,
frailty_weight_loss,physical_frailty_phenotype,"UNINTENTIONAL WEIGHT LOSS",yesno,"1. Has Participant Reported Any Unintentional Weight Loss Between Any Major Study Time Points ?",,,,,,,,y,,,,,"Meets criteria for weight loss if: (Lost, ≥10 lbs, ≥5% of body mass or, BMI < 18.5kg/m2)"
frailty_tired_during_day,physical_frailty_phenotype,"EXHAUSTION                                                      ",radio,"2. ""In The Past Month, On The Average, Have You Been Feeling Unusually Tired During The Day?""","1, Yes | 2, No | 3, Don't Know | 4, Refused",,,,,,,y,,,,,"Meets criteria for exhaustion if answer: Felt unusually tired or unusually weak 'all of the time' or 'most of the time' or reported energy level was ≤3"
frailty_unusually_tired,physical_frailty_phenotype,,radio,"2a.  ""If Yes, Have You Been Feeling Unusually Tired:""","1, All Of The Time | 2, Most Of The Time | 3, Some Of The Time | 4, Refused/Don't Know",,,,,,"[frailty_tired_during_day] = '1'",,,,,,"Meets criteria for exhaustion if answer: Felt unusually tired or unusually weak 'all of the time' or 'most of the time' or reported energy level was ≤3"
frailty_unusually_weak,physical_frailty_phenotype,,radio,"2b. ""In The Past Month, On The Average, Have You Felt Unusually Weak?""","1, Yes | 2, No | 3, Refused | 4, Don't Know",,,,,,,y,,,,,"Meets criteria for exhaustion if answer: Felt unusually tired or unusually weak 'all of the time' or 'most of the time' or reported energy level was ≤3"
frailty_feeling_weak,physical_frailty_phenotype,,radio,"2c."" If Yes, Have You Been Feeling Weak:""","1, All Of The Time | 2, Most Of The time | 3, Some Of The Time | 4, Refused/Don't Know",,,,,,"[frailty_unusually_weak] = '1'",,,,,,"Meets criteria for exhaustion if answer: Felt unusually tired or unusually weak 'all of the time' or 'most of the time' or reported energy level was ≤3"
frailty_energy_scale,physical_frailty_phenotype,,radio,"2d. Please Rate Your Usual Energy Level On A Scale From 0 To 10 Where 0 Is No Energy And 10 Is The Most Energy That You Have Ever Had. Please Give A Number Between 0 And 10 That Describes Your Usual Energy Level While Awake In The Last Month?""","1, 0 (No Energy) | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7 | 9, 8 | 10, 9 | 11, 10 (The Most Energy You've Ever Had)",,,,,,,y,,,,,"Meets criteria for exhaustion if answer: Felt unusually tired or unusually weak 'all of the time' or 'most of the time' or reported energy level was ≤3"
frailty_slow_walk_speed,physical_frailty_phenotype,"SLOWNESS

Meets Criteria for Slow Walking Speed over 3 Meters if:

Men:                                                                                                          
≤0.65m/s for height ≤173 cm (68 inches) (5ft. 6in.)                                          
≤0.76m/s for height >173 cm (68 inches) (5ft. 6in.) 
*Men with a height of 173 cm or less: A walking time of 4.59 seconds or more over 3 meters is considered slow.
*Men with a height greater than 173 cm: A walking time of 3.93 seconds or more over 3 meters is considered slow.
                                                                                                  
Women:
≤0.65m/s for height ≤159cm (63 inches) (5ft. 2in.) 
≤0.76m/s for height >159cm (63 inches) (5ft. 2in.) 
*Women with a height of 159 cm or less: A walking time of 4.59 seconds or more over 3 meters is considered slow.
*Women with a height greater than 159 cm: A walking time of 3.93 seconds or more over 3 meters is considered slow.

",yesno,"3. Does Participant Meet Criteria For Slow Walking Speed?",,,,,,,,y,,,,,"Participant attempts to walk 3-meter length three times at his or her usual pace. Use average of 3 trials."
frailty_low_activity,physical_frailty_phenotype,"LOW ACTIVITY LEVEL

Meets criteria for low activity if:

Men: < 128 kcal of physical expenditure on activity scale per week 
Women: < 90 kcal of physical expenditure on activity scale per week ",yesno,"4. Does Participant Meet Criteria For Low Activity",,,,,,,,y,,,,,
frailty_grip_strength,physical_frailty_phenotype,"WEAKNESS

Meets Criteria For Grip Strength Weakness If:

Men
≤29 kg for BMI ≤24
≤30 kg for BMI 24.1-26
≤30 kg for BMI 26.1-28
≤32 kg for BMI >28

Women
≤17 kg for BMI ≤23
≤17.3 kg for BMI 23.1-26
≤18 kg for BMI 26.1-29
≤21 kg for BMI >29
",yesno,"5. Does Participant Meet Criteria For grip Strength Weakness?",,,,,,,,y,,,,,"Participant will squeeze the dynamometer maximally 3 times with each hand. Use maximal score of each hand."
frailty_phenotype,physical_frailty_phenotype,"SCORING:

≥3/5 Criteria Met Indicates Frailty

1-2/5 Indicates Pre-or-Intermediate Frailty

0/5 Indicates Non-Frail",radio,"6. What Is Participant Overall Physical Frailty Phenotype?","1, Frail | 2, Pre-Frail | 3, Non-Frail",,,,,,,y,,,,,
frailty_phenotype_important_notes,physical_frailty_phenotype,,notes,,,,,,,,,,,,,,
